config,model,weighting,lambda_amp,mean_RMSE,mean_MAPE,mean_shape_MSE,mean_abs_log_amplitude,max_abs_log_amplitude,fold_RMSE_std,donor_sensitivity,mean_pulse_variance
Model_A_uniform_lam0.001,Model_A,uniform,0.001,1166.3122564667506,12.0882771608392,0.7132349339790794,1.8651447981595992,1.866775596141815,951.543166477551,2198.065339831365,0.4661365747451782
Model_A_uniform_lam0.01,Model_A,uniform,0.01,3427.6079223917914,8.764417588720741,0.40303195280699644,1.6295268893241883,1.6312305927276611,5158.992069508266,12415.189377113455,0.26979944109916687
Model_A_uniform_lam0.1,Model_A,uniform,0.1,6316.424589839261,19.219455984776403,1.157240010673544,1.0111208796501159,1.011627447605133,9529.903022067327,22974.19544752955,0.11525249481201172
Model_A_uniform_lam1.0,Model_A,uniform,1.0,6186.306581989928,34.26807677572394,0.6990142059683839,0.9498710960149765,0.949871551990509,6693.8448199312315,16511.565465289077,0.49401500821113586
Model_A_uniform_lam10.0,Model_A,uniform,10.0,16189.119660501243,36.15023738931713,0.8859729531444209,0.613175992667675,0.6131775379180908,28469.188203887632,66683.07591574868,0.4440046548843384
Model_A_weighted_lam0.001,Model_A,weighted,0.001,1219.6397928570163,5.073514028361381,0.1944444131267359,2.110547113418579,2.118125009536743,1250.4370984090797,2869.790518789213,0.08771117776632309
Model_A_weighted_lam0.01,Model_A,weighted,0.01,3966.4818887207266,10.205675887869711,0.4692828202462141,1.572848814725876,1.5831024646759033,6355.555889423866,15152.712589161674,0.31873229146003723
Model_A_weighted_lam0.1,Model_A,weighted,0.1,5185.882645518863,20.42734843431368,0.5334546449542946,1.1581233739852905,1.1610832691192627,5014.7082731526925,12438.345967801932,0.31664106249809265
Model_A_weighted_lam1.0,Model_A,weighted,1.0,10773.125364441352,26.12937410050447,0.8384803447850924,1.0136348754167557,1.0147041082382202,17181.51961639253,40843.29694894965,0.3954187333583832
Model_A_weighted_lam10.0,Model_A,weighted,10.0,8392.321919064543,20.228835876862853,1.2024348069142525,1.3062708020210265,1.3064988851547241,13793.471483197824,32576.705915958806,0.44718456268310547
Model_B_uniform_lam0.001,Model_B,uniform,0.001,940.1277748059581,3.8061824747481205,0.4373620955483456,2.630102586746216,2.6313590526580812,1179.3055519620902,2928.0388327597743,0.2934069335460663
Model_B_uniform_lam0.01,Model_B,uniform,0.01,2953.5103394552966,9.942650601930534,0.2236501463805128,1.5688973546028138,1.5697883367538452,3647.5150315202454,9062.989280434982,0.18159735202789307
Model_B_uniform_lam0.1,Model_B,uniform,0.1,7193.36783877442,16.333720213187235,0.3568223222685699,1.2243434190750122,1.2246261835098267,11087.76600059581,26676.144818220248,0.2561992406845093
Model_B_uniform_lam1.0,Model_B,uniform,1.0,3347.5901194960556,18.025769223786448,0.9279838664163783,1.3254005700349807,1.3254021525382995,2986.06157440099,6638.812673103021,0.4876233637332916
Model_B_uniform_lam10.0,Model_B,uniform,10.0,6408.638697090681,22.025029512197847,0.6952369156886364,1.5795381277799607,1.579658818244934,8063.955640723435,15310.298613184093,0.43512192368507385
Model_B_weighted_lam0.001,Model_B,weighted,0.001,1159.4911886557015,3.7401218504725278,0.21564114572943324,2.3395070791244508,2.348472023010254,1512.813063989642,3725.1581116783786,0.06981643289327621
Model_B_weighted_lam0.01,Model_B,weighted,0.01,3044.3028122612777,9.411218753380226,0.6509527788528465,1.7036160767078399,1.7068351984024048,4159.25438358484,10227.02272018192,0.2616255581378937
Model_B_weighted_lam0.1,Model_B,weighted,0.1,8827.62445791395,27.53642552681311,0.7051275890230757,1.0022398233413696,1.0033715486526489,11970.796497579391,29518.949156565144,0.45501014590263367
Model_B_weighted_lam1.0,Model_B,weighted,1.0,9912.89895471826,34.00699745578236,0.47846625797698533,0.6953206956386566,0.6964618027210235,10984.29105605943,26414.510288637262,0.29085323214530945
