config,model,weighting,lambda_amp,donor,RMSE,MAPE,shape_MSE,SARIMA_RMSE,baseline_RMSE,improvement_vs_sarima_pct,improvement_vs_baseline_pct,a_transfer,fold_RMSE_std,mean_abs_log_amplitude,max_abs_log_amplitude
Model_B_weighted_lam10.0,Model_B,weighted,10.0,QAT,441.63398943132574,9.235218411168477,0.11436749859107853,286.19870650076246,152.45509673527707,-54.31026744705053,-189.68135463400003,0.21516066904251394,3504.0795148654274,1.5362907648086548,1.5365025997161865
Model_B_uniform_lam0.001,Model_B,uniform,0.001,QAT,228.3021121594706,3.9527881844017543,0.19578608219600024,286.19870650076246,152.45509673527707,20.229509437401187,-49.75039670591941,0.0964881032705307,1179.3055519620902,2.3383361101150513,2.3401265144348145
Model_B_uniform_lam0.01,Model_B,uniform,0.01,QAT,411.9835337564307,6.706548623239043,0.18766628359387252,286.19870650076246,152.45509673527707,-43.95017321831716,-170.23270627140704,0.24877341464161873,3647.5150315202454,1.3912129998207092,1.3920656442642212
Model_B_uniform_lam0.1,Model_B,uniform,0.1,QAT,849.6245914193819,17.739969506257683,0.1385140134869893,286.19870650076246,152.45509673527707,-196.86528000332467,-457.2949738077104,0.3650439977645874,11087.76600059581,1.007737398147583,1.0077378749847412
Model_B_uniform_lam1.0,Model_B,uniform,1.0,QAT,371.7275168692922,7.283461892999769,0.10182997344476445,286.19870650076246,152.45509673527707,-29.88441541691659,-143.8275432108115,0.20740004628896713,2986.06157440099,1.5731057524681091,1.5731087923049927
Model_B_uniform_lam10.0,Model_B,uniform,10.0,QAT,256.963176535971,3.8357429017822353,0.18607391211228005,286.19870650076246,152.45509673527707,10.215116036771315,-68.55007280088621,0.11261571757495403,8063.955640723435,2.183773994445801,2.1840243339538574
Model_C_weighted_lam0.001,Model_C,weighted,0.001,QAT,141.12169261387203,2.443068561145367,0.133205936436238,286.19870650076246,152.45509673527707,50.69100963477064,7.433929310401707,0.07009352113191898,676.5367138652211,2.6574555039405823,2.6589930057525635
Model_C_weighted_lam0.01,Model_C,weighted,0.01,QAT,304.58055746133147,5.958754301375848,0.35542335828498595,286.19870650076246,152.45509673527707,-6.422758224632312,-99.78378157484951,0.10152037728291291,5958.551517807728,2.287498652935028,2.287506580352783
Model_C_weighted_lam0.1,Model_C,weighted,0.1,QAT,359.4776799969889,6.329913685740498,0.23998425906097376,286.19870650076246,152.45509673527707,-25.604229450293214,-135.79249739428897,0.18148987224468818,4119.292346444265,1.7065578997135162,1.7065637111663818
Model_C_weighted_lam1.0,Model_C,weighted,1.0,QAT,639.7422633946444,11.120238998833564,0.7194342624470186,286.19870650076246,152.45509673527707,-123.53080180428422,-319.62668162251896,0.19742286778413332,3035.5986785994396,1.6224097907543182,1.622421383857727
Model_C_weighted_lam10.0,Model_C,weighted,10.0,QAT,209.77977948335192,3.5885230707357296,0.1461148422898367,286.19870650076246,152.45509673527707,26.701353039555737,-37.60102743407352,0.11764759914233135,2695.5430525402244,2.139962613582611,2.140256881713867
Model_C_uniform_lam0.001,Model_C,uniform,0.001,QAT,132.20207246914654,2.4686375965820884,0.1179451949116539,286.19870650076246,152.45509673527707,53.80759260391893,13.2845832640793,0.07127477042376995,1395.6655510857693,2.6412129998207092,2.641751766204834
Model_C_uniform_lam0.01,Model_C,uniform,0.01,QAT,311.47823182190615,6.621589148695108,1.3917072896271783,286.19870650076246,152.45509673527707,-8.83285799234608,-104.30817892743643,0.016549752093851566,1345.7663304114694,4.101384162902832,4.101390838623047
Model_C_uniform_lam0.1,Model_C,uniform,0.1,QAT,1187.7214516032666,21.355719002435748,0.2071615458107946,286.19870650076246,152.45509673527707,-314.9988887528751,-679.0631320549587,0.33931639790534973,4328.657489585956,1.0808222591876984,1.0808240175247192
Model_C_uniform_lam1.0,Model_C,uniform,1.0,QAT,1469.1033933909987,32.80429235677932,2.005327172860476,286.19870650076246,152.45509673527707,-413.3158746079396,-863.6302261130364,0.37618762999773026,8914.596731914096,0.9776672571897507,0.9776677489280701
Model_C_uniform_lam10.0,Model_C,uniform,10.0,QAT,1063.6209762040794,24.122763005926785,1.9186368123618915,286.19870650076246,152.45509673527707,-271.63724085568003,-597.6618027083413,0.2530220299959183,3498.5187781564664,1.3742787539958954,1.3742825984954834
