Left-out donor,MAE (GWh),RMSE (GWh),MAPE (%),Shape MSE
QAT,463.00239974135155,559.342602124193,12.613062181159481,0.02229595959055779
EGY,2128.549312187322,2683.5774790457376,12.220132626882945,0.030944180264545686
RUS,9914.47190068866,11786.585918400731,11.250249322572113,0.021997630055248095
CMR,46.09619372247759,59.75799702748815,8.12143534800102,0.017755029243146096
ZAF,2375.7835986181517,2738.298864238328,11.424985861080277,0.025096176403440095
Mean,2985.580680991593,3565.5125721672957,11.125973067939167,0.023617795111387556
