donor,MAE,RMSE,MAPE,shape_MSE,SARIMA_RMSE,baseline_RMSE,improvement_vs_sarima_pct,improvement_vs_baseline_pct
QAT,733.315752774363,771.1416593736524,16.880404435668623,0.6712667820394564,286.19870650076246,152.45509673527707,-169.4427479432364,-405.815598092245
EGY,11818.951452676984,13824.476343193248,70.38929833692418,0.40573716854251374,505.5244910762869,1048.0907244490409,-2634.6798398946503,-1219.015236057974
RUS,6451.72707474056,6638.1910265235065,7.17847028487459,0.6888195194826543,4504.253892107256,2186.946061975524,-47.37604019514796,-203.53702553263062
CMR,94.13115832449076,96.96426340300188,17.06316418132503,0.765853984926668,35.02177869644508,16.74700406294494,-176.86847159720168,-478.99468489142316
ZAF,601.3994275668316,700.9837144578997,2.8298615404693686,0.40843028019136307,1156.899222961546,830.1007914908432,39.40840303587967,15.554385486255468
