months_to_wc,coefficient_raw,coefficient_normalized
-5,-0.060276322,-0.15999782
-4,0.17036012,0.45220488
-3,0.01370811,0.03638689
-2,0.37673214,1.0
-1,-0.14660524,-0.3891498
0,0.25440827,0.6753028
1,0.091133654,0.2419057
2,0.020380298,0.05409758
3,0.06405907,0.17003877
4,-0.11755322,-0.31203395
5,0.025786543,0.068447955
6,0.14649057,0.38884544
