months_to_wc,coefficient_raw,coefficient_normalized
-5,-0.01765472,-7.0164037e-06
-4,0.033802792,1.3434029e-05
-3,2516.2065,1.0
-2,-0.03461876,-1.3758315e-05
-1,0.0022945337,9.1190196e-07
0,-0.038696148,-1.5378764e-05
1,-0.014397691,-5.721983e-06
2,753.15436,0.29932135
3,0.007910529,3.1438315e-06
4,-0.082633466,-3.2840493e-05
5,0.0081013935,3.2196854e-06
6,0.026964532,1.0716343e-05
