months_to_wc,coefficient_raw,coefficient_normalized
-5,0.11184442,0.47545505
-4,0.017375251,0.07386288
-3,-0.06731054,-0.28613976
-2,-0.029870084,-0.1269789
-1,-0.044255935,-0.18813372
0,-0.007700085,-0.032733366
1,-0.16855164,-0.71651965
2,0.032697283,0.13899744
3,-0.23523659,-1.0
4,-0.07314994,-0.31096327
5,0.0892322,0.3793296
6,0.15829875,0.67293423
