months_to_wc,coefficient_raw,coefficient_normalized
-5,0.010796044,0.024514286
-4,0.011667254,0.02649252
-3,0.05654587,0.12839718
-2,-0.100228295,-0.22758569
-1,0.18525341,0.42064992
0,0.060659915,0.13773884
1,-0.44039807,-1.0
2,-0.06637972,-0.15072663
3,0.12878492,0.29242846
4,0.115077734,0.2613039
5,-0.034144502,-0.077531
6,-0.10132394,-0.23007354
