unique_id,ds,y,months_to_wc
RSA,2010-01-01,0.023846370916099997,-5
RSA,2010-02-01,0.031698883089209436,-4
RSA,2010-03-01,0.06655441588481054,-3
RSA,2010-04-01,0.08235646883677218,-2
RSA,2010-05-01,0.06681868999582537,-1
RSA,2010-06-01,0.07959213180585778,0
RSA,2010-07-01,0.06506454911176264,1
RSA,2010-08-01,0.05420041301160518,2
RSA,2010-09-01,-0.00831601292676714,3
RSA,2010-10-01,0.0036538786413679316,4
RSA,2010-11-01,-0.0005005092209658228,5
RSA,2010-12-01,0.024251628024741283,6
CMR,2021-08-01,0.010127289065131002,-5
CMR,2021-09-01,-0.0002605080787987109,-4
CMR,2021-10-01,0.0037163066737360057,-3
CMR,2021-11-01,-0.004286709311529235,-2
CMR,2021-12-01,0.053460353047587256,-1
CMR,2022-01-01,0.1585520664676013,0
CMR,2022-02-01,0.15273530138903488,1
CMR,2022-03-01,0.14023266079371954,2
CMR,2022-04-01,0.09056794226865722,3
CMR,2022-05-01,0.08203050675309972,4
CMR,2022-06-01,0.11399483810047752,5
CMR,2022-07-01,0.10252615631523289,6
RUS,2018-01-01,0.0067726549530417925,-5
RUS,2018-02-01,0.029020383749857662,-4
RUS,2018-03-01,0.04905182826083966,-3
RUS,2018-04-01,0.04158411091161795,-2
RUS,2018-05-01,0.04342795351960544,-1
RUS,2018-06-01,0.042234951461577554,0
RUS,2018-07-01,0.06182415807162775,1
RUS,2018-08-01,0.04698484178426106,2
RUS,2018-09-01,0.03685569632662482,3
RUS,2018-10-01,0.022585055040748342,4
RUS,2018-11-01,0.03166962396395608,5
RUS,2018-12-01,0.04420164420507986,6
QAT,2022-06-01,0.01853585670918399,-5
QAT,2022-07-01,-0.025783640577441994,-4
QAT,2022-08-01,0.08026431973210456,-3
QAT,2022-09-01,0.05481762013148298,-2
QAT,2022-10-01,0.05960202352118297,-1
QAT,2022-11-01,0.12666966320294482,0
QAT,2022-12-01,0.07621797114485253,1
QAT,2023-01-01,0.08120566646454633,2
QAT,2023-02-01,0.07621556941525412,3
QAT,2023-03-01,0.11359874811000129,4
QAT,2023-04-01,0.044821571280794704,5
QAT,2023-05-01,0.11932374209948686,6
EGY,2019-02-01,0.01910507792860771,-5
EGY,2019-03-01,-0.0025138260432376255,-4
EGY,2019-04-01,-0.01709401709401692,-3
EGY,2019-05-01,-0.009552538964303855,-2
EGY,2019-06-01,0.02312719959778857,-1
EGY,2019-07-01,0.037204625439919564,0
EGY,2019-08-01,0.04977375565610897,1
EGY,2019-09-01,3.6580983480057454e-16,2
EGY,2019-10-01,0.004022121669180859,3
EGY,2019-11-01,0.011060834590247,4
EGY,2019-12-01,-0.014580191050779472,5
EGY,2020-01-01,-0.002513826043238357,6
