cutoff,horizon,fit_time_seconds,order,seasonal_order,aic,bic,rmse,mape,bias,snaive_rmse,snaive_mape,snaive_bias,drift_rmse,drift_mape,drift_bias
2021-06-01,12,1.2197012901306152,"(0, 1, 2)","(0, 1, 1, 12)",-157.34699802127415,-149.94640761443392,87.44186057032026,1.8910380441907337,-6.56945927404566,171.80722481898056,4.762970611629202,-164.80833333333237,240.59985961906466,6.203702258907646,77.13419015544866
2021-09-01,12,1.3833422660827637,"(0, 1, 2)","(0, 1, 1, 12)",-170.25262826212958,-162.604536240417,109.77202632499548,2.2184641736134427,-65.77564782382505,189.0389686457979,5.028329634031967,-177.90000000000057,299.15318491957726,7.549574028760936,95.88545198559079
2021-12-01,12,1.0485336780548096,"(0, 1, 2)","(0, 1, 1, 12)",-183.8983466229754,-176.0171789687669,117.98086582492193,2.3582091307138215,-34.3238364148314,183.53748708824364,4.78247596526086,-150.4750000000013,349.4230748027514,6.830848318960927,-185.48202944287365
2022-03-01,12,0.9973981380462646,"(0, 1, 2)","(0, 1, 1, 12)",-197.8651086841335,-189.7637019211929,127.02606109414606,2.8394464959448067,-43.5375840545942,179.86738633411824,4.437315622910584,-141.01666666666753,352.90619081551955,7.058223017734642,-219.19943328123244
2022-06-01,12,0.8383183479309082,"(0, 1, 2)","(0, 1, 1, 12)",-209.88456533671197,-201.5744155610891,133.14784650485313,3.0690760635844536,89.00298862288571,149.4491998417309,3.4905792479021467,-104.61666666666797,359.66498498659115,9.194871659686383,223.3327163500069
2022-09-01,12,0.9123351573944092,"(0, 1, 2)","(0, 1, 1, 12)",-220.57062093439228,-212.06208339421192,115.84675129619045,2.3870118992864495,39.63282726202234,139.98122195494554,3.2645670673629454,-97.94166666666668,345.62376993607324,7.828762876065308,98.88671740181792
2022-12-01,12,1.0870823860168457,"(0, 1, 2)","(0, 1, 1, 12)",-231.01019418993474,-222.31264511035218,116.40617681554419,2.4464270447352563,-78.91015393143478,172.55200182360377,3.8120141903949927,-139.46666666666627,555.854996960707,11.95196517179777,-454.0873413020027
2023-03-01,12,0.8499796390533447,"(0, 1, 2)","(0, 1, 1, 12)",-244.55271821412265,-235.67468739341822,88.44322824638365,1.7635175045508253,-39.381784051904525,175.49877729868436,3.9830159494155777,-145.9416666666668,321.0714745422298,5.588587567677649,-138.60660052960682
2023-06-01,12,0.8429813385009766,"(0, 1, 2)","(0, 1, 1, 12)",-258.5458086771389,-249.49508916897364,102.56491596821968,2.19761927320985,-18.331340574721747,176.30090281485536,3.845817234422914,-141.74999999999963,305.5938936295981,6.574421560606476,59.6504126662173
2023-09-01,12,1.1671807765960693,"(1, 1, 1)","(0, 1, 1, 12)",-269.6246759763287,-260.408415603512,104.34877729338925,2.3182737303611742,-53.874602703043365,184.80383969676225,4.120637434736949,-153.92500000000004,348.9942638489408,7.03732009000275,-11.072519227381918
2023-12-01,12,1.1527817249298096,"(1, 1, 1)","(0, 1, 1, 12)",-282.7167788163723,-273.34155712895756,93.52654055694502,2.0287183373265485,-25.683603385934475,164.4166556850818,3.7567170243205146,-142.26666666666733,402.7490258684928,7.029438823756534,-213.6997353517216
2024-03-01,12,1.131223440170288,"(1, 1, 1)","(0, 1, 1, 12)",-296.998832467065,-287.47072592836946,102.10502590847996,2.3581006546697867,-40.24127470093879,167.6407965462665,3.7511371912591898,-144.08333333333397,391.5068874469051,6.85816731287764,-221.67528385244057
2024-06-01,12,1.1669766902923584,"(1, 1, 1)","(0, 1, 1, 12)",-308.48492236898835,-298.80955993780196,153.56185617987856,3.313966111115072,-126.32485154357028,241.0663878132604,5.490948569175137,-217.85000000000034,363.05150990238303,6.517077163196134,-170.861294667926
2024-09-01,12,1.224320888519287,"(1, 1, 1)","(0, 1, 1, 12)",-320.5176612679526,-310.70027208293857,160.23004112796116,3.175769769086175,-120.61348528289966,270.11636998399973,5.9794560439854125,-244.41666666666677,396.8770801676955,8.334954008396188,5.2758599177095675
2024-12-01,12,1.2202832698822021,"(1, 1, 1)","(0, 1, 1, 12)",-334.6357364160897,-324.68119093716115,173.17250239426588,3.592965392128084,-135.4622668061269,300.62637941471405,6.700157306341156,-278.0666666666666,489.6463440387802,8.689950619933322,-294.4581058382102
